column,display_name,unit,material_class,changed_from,audit_verdict,held_because,evidence_url,n_samples,n_studies
Liver dECM (%w/v),Liver dECM,%w/v,ECM_derived,natural_polymer,Conditional,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6376869/,139,9
cECM (%w/v),cECM,%w/v,ECM_derived,natural_polymer,Conditional,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6376869/,118,8
matrigel (%w/v),matrigel,%w/v,ECM_derived,natural_polymer,Conditional,,https://www.corning.com/worldwide/en/products/life-sciences/products/surfaces/matrigel-matrix.html,19,5
KdECM (%w/v),KdECM,%w/v,ECM_derived,natural_polymer,Conditional,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6376869/,11,3
vascular tissue-derived dECM (%w/v),vascular tissue-derived dECM,%w/v,ECM_derived,natural_polymer,name changed,,,7,2
omentum ECM (%w/v),omentum ECM,%w/v,ECM_derived,natural_polymer,name changed,,,2,1
Vitamin B2 (%w/v),Vitamin B2,%w/v,bioactive_material,,Conditional,audit verdict Conditional - role depends on source study,https://pubs.rsc.org/en/content/articlehtml/2017/py/c6py02034h,20,2
diTyr-RGD (mM),diTyr-RGD,mM,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,8,1
MMP2-degradable peptide (%w/v),MMP2-degradable peptide,%w/v,bioactive_material,,Conditional,audit verdict Conditional,https://pmc.ncbi.nlm.nih.gov/articles/PMC5577801/,8,1
VEGF (%w/v),VEGF,%w/v,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,6,1
α-Toc (µM),α-Toc,µM,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,5,1
ascorbic acid (mM),ascorbic acid,mM,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,5,1
aprotinin (µg/ml),aprotinin,µg/ml,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,3,2
RGD (mM),RGD,mM,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,1,1
astaxanthin (%w/v),astaxanthin,%w/v,bioactive_material,,Correct,,https://pubmed.ncbi.nlm.nih.gov/25462848/,1,1
hydroxyapatite (%w/v),hydroxyapatite,%w/v,bioceramics,,Correct,,https://pubmed.ncbi.nlm.nih.gov/26646669/,43,3
TCP (%w/v),TCP,%w/v,bioceramics,,Correct,,https://pubmed.ncbi.nlm.nih.gov/26646669/,9,2
bioactive glass (%w/v),bioactive glass,%w/v,bioceramics,,Correct,,https://pubmed.ncbi.nlm.nih.gov/26646669/,7,2
borate bioactive glass (%w/v),borate bioactive glass,%w/v,bioceramics,,name changed,,,1,1
laponite (%w/v),laponite,%w/v,clay,,Correct,,https://pubmed.ncbi.nlm.nih.gov/28467835/,96,6
Laponite-XLG (%w/w),Laponite-XLG,%w/w,clay,,Correct,,https://pubmed.ncbi.nlm.nih.gov/28467835/,25,1
CaCl2 (mM),CaCl2,mM,crosslinker,,Correct,,https://pubmed.ncbi.nlm.nih.gov/24828818/,1057,98
glutaraldehyde (%w/v),glutaraldehyde,%w/v,crosslinker,,Correct,,https://pubmed.ncbi.nlm.nih.gov/24828818/,62,3
hydrogen peroxide (H2O2) (%v/v),hydrogen peroxide (H2O2),%v/v,crosslinker,,Conditional,co-substrate of HRP crosslinking,https://pmc.ncbi.nlm.nih.gov/articles/PMC7725231/,55,2
