raw_name,n_samples,canonical_name,action,note
ESCs,8,ESCs,keep_separate,resembles hESCs / MESCs - human vs mouse unresolved
HACs,7,HACs,keep_separate,"resembles hASCs - articular chondrocytes vs adipose stem cells, NOT the same"
MSCs,6,MSCs,keep_separate,resembles bMSCs / hMSCs - generic vs bone-marrow vs human
fibroblasts,3,fibroblasts,keep_separate,resembles 3T3 Fibroblasts - species/line unspecified
ACPCs,2,ACPCs,keep_separate,"resembles CPCs - articular chondroprogenitor, NOT the same"
hCPCs,2,hCPCs,keep_separate,resembles CPCs - human vs generic cardiac progenitor
iPSCs,1,iPSCs,keep_separate,resembles hiPSCs - iPSCs may be non-human
cardiac fibroblasts,1,cardiac fibroblasts,keep_separate,resembles Human cardiac fibroblasts - species unspecified
hMSCs,1,hMSCs,keep_separate,resembles MSCs - human-derived vs generic
H9C2,11,H9c2,merge,spelling/case/whitespace/plural
HUVEC,8,HUVECs,merge,spelling/case/whitespace/plural
myoblasts,7,Myoblast cells,merge,spelling/case/whitespace/plural
human primary kidneycells,6,human primary kidney cells,merge,spelling/case/whitespace/plural
primary mouse hepatocyte,3,Primary mouse hepatocyte,merge,spelling/case/whitespace/plural
MRC-5,3,MRC5,merge,spelling/case/whitespace/plural
NIH 3T3,2,NIH3T3,merge,spelling/case/whitespace/plural
cardiomyocyte,2,cardiomyocytes,merge,spelling/case/whitespace/plural
hUVECs/NIH3T3,1,NIH3T3/ HUVECs,merge,spelling/case/whitespace/plural
human cardiac fibroblasts,1,Human cardiac fibroblasts,merge,spelling/case/whitespace/plural
Human CPCs & MSCs,1,Human CPCs / MSCs,merge,spelling/case/whitespace/plural
BMSCs,1,bMSCs,merge,spelling/case/whitespace/plural
HepaRG/LX-2,1,HepaRG / LX-2,merge,spelling/case/whitespace/plural
NoCellCultured,1573,NoCellCultured,unchanged,
HepG2,71,HepG2,unchanged,
HUVECs,67,HUVECs,unchanged,
bMSCs,64,bMSCs,unchanged,
chondrocytes,39,chondrocytes,unchanged,
NIH3T3,33,NIH3T3,unchanged,
HepaRG,28,HepaRG,unchanged,
hiPSC-CMs /ATCCs,26,hiPSC-CMs /ATCCs,unchanged,
HEK,24,HEK,unchanged,
CPCs,21,CPCs,unchanged,
MESCs,20,MESCs,unchanged,
Myoblast cells,19,Myoblast cells,unchanged,
hiPSCs,17,hiPSCs,unchanged,
L929,15,L929,unchanged,
H9c2,14,H9c2,unchanged,
10T1/2,13,10T1/2,unchanged,
Cardiac progenitor cells,13,Cardiac progenitor cells,unchanged,
NSCLC PDX,13,NSCLC PDX,unchanged,
HAVIC,12,HAVIC,unchanged,
RAMECs,12,RAMECs,unchanged,
Primary mouse hepatocyte,11,Primary mouse hepatocyte,unchanged,
hESCs,11,hESCs,unchanged,
human nasoseptal chondrocytes,10,human nasoseptal chondrocytes,unchanged,
PDX,10,PDX,unchanged,
PTECs,10,PTECs,unchanged,
HPFs,10,HPFs,unchanged,
dermal fibroblasts,9,dermal fibroblasts,unchanged,
HASSMC,9,HASSMC,unchanged,
MG-63,9,MG-63,unchanged,
RPTEC/TERT1,8,RPTEC/TERT1,unchanged,
SU3,8,SU3,unchanged,
hiPSC-CMs and HS-27A,8,hiPSC-CMs and HS-27A,unchanged,
MC3T3-E1,8,MC3T3-E1,unchanged,
hASCs,8,hASCs,unchanged,
Saos-2,8,Saos-2,unchanged,
HeLa,7,HeLa,unchanged,
